,borough_code,borough,Neighborhood,Zip,naics,est,median_income,white_pop,afr_am_pop,asian_pop,nat_am_pacif_pop,other_pop,multi_race_pop,population,Lat,Lng,white_pop_percent,afr_am_pop_percent,asian_pop_percent,nat_am_pacif_pop_percent,other_pop_percent,multi_race_pop_percent
109,4,Queens,North Queens,11354,713940,6,44512,11934,2097,35922,6,6,1548,51513,40.76621,-73.82533,23.2,4.1,69.73,0.01,0.01,3.01
110,4,Queens,North Queens,11355,713940,4,38370,10650,2761,60276,83,83,1960,75813,40.75478,-73.82336,14,3.6,79.51,0.11,0.11,2.59
111,4,Queens,North Queens,11356,713940,1,59712,8370,569,7543,55,55,877,17469,40.7853,-73.84488,47.9,3.3,43.18,0.31,0.31,5.02
112,4,Queens,North Queens,11357,713940,5,81053,28912,205,9362,15,15,1193,39702,40.78663,-73.80969,72.8,0.5,23.58,0.04,0.04,3
113,4,Queens,North Queens,11358,713940,6,65932,16059,459,16591,0,0,894,34003,40.76138,-73.79756,47.2,1.3,48.79,0,0,2.63
115,4,Queens,North Queens,11360,713940,3,84476,12738,180,5791,0,0,301,19010,40.78021,-73.78056,67,0.9,30.46,0,0,1.58
105,4,Queens,Northeast Queens,11361,713940,6,82020,14572,964,11334,0,0,633,27503,40.76276,-73.77285,53,3.5,41.21,0,0,2.3
106,4,Queens,Northeast Queens,11362,713940,1,80828,9075,186,8089,0,0,469,17819,40.76144,-73.73341,50.9,1,45.4,0,0,2.63
108,4,Queens,Northeast Queens,11364,713940,1,71030,14707,931,18079,4,4,694,34419,40.7467,-73.75986,42.7,2.7,52.53,0.01,0.01,2.02
44,1,Brooklyn,Northwest Brooklyn,11201,713940,26,116446,39710,8353,7233,134,134,3316,58880,40.69378,-73.99131,67.4,14.2,12.28,0.23,0.23,5.63
45,1,Brooklyn,Northwest Brooklyn,11205,713940,4,51574,20970,14864,3499,7,7,1634,40981,40.69343,-73.96553,51.2,36.3,8.54,0.02,0.02,3.99
46,1,Brooklyn,Northwest Brooklyn,11215,713940,15,116893,53737,3081,5488,0,0,4444,66750,40.66782,-73.98313,80.5,4.6,8.22,0,0,6.66
47,1,Brooklyn,Northwest Brooklyn,11217,713940,8,99085,23229,7685,3010,23,23,1661,35631,40.68204,-73.97848,65.2,21.6,8.45,0.06,0.06,4.66
48,1,Brooklyn,Northwest Brooklyn,11231,713940,6,93575,25184,5023,1951,0,0,2067,34225,40.68024,-74.00052,73.6,14.7,5.7,0,0,6.04
126,4,Queens,Northwest Queens,11101,713940,14,57866,13414,4814,5970,40,40,1351,25629,40.74892,-73.93912,52.3,18.8,23.29,0.16,0.16,5.27
127,4,Queens,Northwest Queens,11102,713940,4,60436,19180,3555,5499,47,47,870,29198,40.77028,-73.924,65.7,12.2,18.83,0.16,0.16,2.98
128,4,Queens,Northwest Queens,11103,713940,7,65229,26680,1021,5820,46,46,1334,34947,40.76303,-73.91426,76.3,2.9,16.65,0.13,0.13,3.82
129,4,Queens,Northwest Queens,11104,713940,3,63122,17715,384,5407,0,0,668,24174,40.74403,-73.92119,73.3,1.6,22.37,0,0,2.76
130,4,Queens,Northwest Queens,11105,713940,3,68050,27702,916,5100,0,0,979,34697,40.77683,-73.91037,79.8,2.6,14.7,0,0,2.82
131,4,Queens,Northwest Queens,11106,713940,1,60725,21585,2795,8557,0,0,1878,34815,40.7614,-73.92806,62,8,24.58,0,0,5.39
166,5,Staten_Island,Port Richmond,10302,713940,3,60968,11856,3330,1255,2,2,768,17213,40.63115,-74.13699,68.9,19.3,7.29,0.01,0.01,4.46
168,5,Staten_Island,Port Richmond,10310,713940,1,69838,14011,5256,1546,0,0,1056,21869,40.63245,-74.1167,64.1,24,7.07,0,0,4.83
136,4,Queens,Rockaways,11691,713940,2,42434,26523,30289,1907,62,62,1053,59896,40.601,-73.75582,44.3,50.6,3.18,0.1,0.1,1.76
137,4,Queens,Rockaways,11692,713940,1,45816,4941,11997,1193,0,0,492,18623,40.59247,-73.79277,26.5,64.4,6.41,0,0,2.64
139,4,Queens,Rockaways,11694,713940,2,77547,17506,1463,616,0,0,236,19821,40.57847,-73.84172,88.3,7.4,3.11,0,0,1.19
169,5,Staten_Island,South Shore,10306,713940,7,80025,46587,1597,3499,0,0,930,52613,40.56962,-74.11691,88.5,3,6.65,0,0,1.77
170,5,Staten_Island,South Shore,10307,713940,1,81356,14736,53,465,0,0,52,15306,40.50843,-74.24217,96.3,0.3,3.04,0,0,0.34
171,5,Staten_Island,South Shore,10308,713940,2,91953,27805,304,1417,14,14,214,29768,40.5512,-74.15078,93.4,1,4.76,0.05,0.05,0.72
172,5,Staten_Island,South Shore,10309,713940,13,100343,31146,367,1277,0,0,226,33016,40.53309,-74.21447,94.3,1.1,3.87,0,0,0.68
173,5,Staten_Island,South Shore,10312,713940,3,90797,55809,721,3419,47,47,677,60720,40.5435,-74.17707,91.9,1.2,5.63,0.08,0.08,1.11
19,2,Bronx,Southeast Bronx,10461,713940,5,55847,24520,4689,6005,45,45,1869,37173,40.84567,-73.84025,66,12.6,16.15,0.12,0.12,5.03
20,2,Bronx,Southeast Bronx,10462,713940,3,49962,18480,21810,10074,20,20,3951,54355,40.84338,-73.85973,34,40.1,18.53,0.04,0.04,7.27
22,2,Bronx,Southeast Bronx,10465,713940,5,74079,26954,5188,1513,7,7,1405,35074,40.82598,-73.81958,76.8,14.8,4.31,0.02,0.02,4.01
24,2,Bronx,Southeast Bronx,10473,713940,1,38924,23831,24898,1179,0,0,2081,51989,40.81926,-73.86059,45.8,47.9,2.27,0,0,4
142,4,Queens,Southeast Queens,11004,713940,1,93315,6521,1115,5863,42,42,690,14273,40.74409,-73.71107,45.7,7.8,41.08,0.29,0.29,4.83
144,4,Queens,Southeast Queens,11411,713940,1,87231,429,18617,65,0,0,364,19475,40.69428,-73.73713,2.2,95.6,0.33,0,0,1.87
