Borough,Neighborhood,Zip,naics,est,Median Income,White Pop,Afr Am Pop,Asian Pop,Native Am Pacific Pop,Other Pop,Multi Race Pop,Lat,Lng,Total
Queens,Southeast Queens,11422,713940,1,86996,2177,28615,710,0,0,785,40.66345,-73.73432,32287
Queens,Southeast Queens,11426,713940,2,83376,8767,1031,8931,0,0,642,40.73312,-73.72194,19371
Queens,Southeast Queens,11427,713940,1,72874,6298,5247,8036,0,0,1487,40.72801,-73.7505,21068
Brooklyn,Southern Brooklyn,11223,713940,11,46310,48854,3684,19523,138,138,1932,40.59857,-73.97318,74269
Brooklyn,Southern Brooklyn,11224,713940,3,31630,26169,10657,2673,24,24,1150,40.57709,-73.98646,40697
Brooklyn,Southern Brooklyn,11229,713940,6,59287,56521,4860,19088,76,76,1578,40.60242,-73.94901,82199
Brooklyn,Southern Brooklyn,11235,713940,7,49653,61548,2046,11422,0,0,1793,40.58329,-73.95443,76809
Brooklyn,Southwest Brooklyn,11209,713940,7,69578,50779,1618,9055,35,35,2280,40.6243,-74.03,63802
Brooklyn,Southwest Brooklyn,11214,713940,5,53151,48521,1404,35001,12,12,1724,40.60171,-73.99618,86674
Brooklyn,Southwest Brooklyn,11228,713940,2,63697,26445,405,14861,34,34,778,40.61853,-74.01112,42557
Queens,Southwest Queens,11414,713940,4,72632,22755,813,1177,0,0,1399,40.66152,-73.84438,26144
Queens,Southwest Queens,11415,713940,4,65981,11915,1107,3896,0,0,771,40.70779,-73.83066,17689
Queens,Southwest Queens,11416,713940,2,61285,7720,1606,9234,26,26,1759,40.68425,-73.85028,20371
Queens,Southwest Queens,11417,713940,1,69989,12108,2250,9794,7,7,1743,40.67691,-73.84478,25909
Queens,Southwest Queens,11418,713940,2,67003,15604,2959,10254,0,0,2059,40.69916,-73.83373,30876
Queens,Southwest Queens,11420,713940,2,66220,7837,11937,14367,54,54,3370,40.67505,-73.81548,37619
Queens,Southwest Queens,11421,713940,1,69053,21617,1843,8921,0,0,2213,40.69303,-73.85611,34594
Staten Island,Stapleton and St. George,10301,713940,2,55818,21731,10554,2347,0,0,2196,40.63176,-74.09112,36828
Staten Island,Stapleton and St. George,10304,713940,1,54567,22095,11164,4044,14,14,1118,40.61132,-74.08738,38449
Brooklyn,Sunset Park,11220,713940,2,42559,28174,2369,41798,0,0,2376,40.64132,-74.01347,74717
Manhattan,Upper East Side,10021,713940,18,123842,36394,550,4756,112,112,1232,40.76846,-73.95888,43156
Manhattan,Upper East Side,10028,713940,14,119203,43504,688,4516,0,0,1080,40.77594,-73.95254,49788
Manhattan,Upper East Side,10044,713940,2,92623,5805,1589,3650,0,0,495,40.76241,-73.94954,11539
Manhattan,Upper East Side,10065,713940,10,124322,26200,694,2200,0,0,328,40.76486,-73.95674,29422
Manhattan,Upper East Side,10075,713940,6,129594,19979,292,960,0,0,580,40.77284,-73.95522,21811
Manhattan,Upper East Side,10128,713940,18,111937,49800,2747,6176,0,0,2498,40.78133,-73.95034,61221
Manhattan,Upper West Side,10023,713940,23,123951,49091,2266,6762,18,18,1435,40.77704,-73.98199,59590
Manhattan,Upper West Side,10024,713940,17,126107,48514,2724,4050,0,0,1574,40.78635,-73.97543,56862
Manhattan,Upper West Side,10025,713940,11,82352,60801,11824,9232,23,23,3700,40.79818,-73.96743,85603
Queens,West Central Queens,11374,713940,5,56863,23949,1724,13137,0,0,1794,40.72805,-73.86066,40604
Queens,West Central Queens,11375,713940,12,76467,45164,1896,20712,68,68,3000,40.72255,-73.84545,70908
Queens,West Central Queens,11385,713940,7,64481,87369,2142,7578,40,40,2030,40.704,-73.89949,99199
Queens,West Queens,11368,713940,4,47862,45355,13897,14013,12,12,2856,40.74681,-73.86054,76145
Queens,West Queens,11372,713940,5,53963,37858,1706,13151,176,176,2100,40.75164,-73.88351,55167
Queens,West Queens,11373,713940,1,49098,23348,2303,48874,12,12,2402,40.74127,-73.87868,76951
Queens,West Queens,11377,713940,5,54989,43531,2141,33982,0,0,2916,40.74492,-73.9062,82570
Queens,West Queens,11378,713940,2,68460,26531,511,3990,32,32,921,40.72381,-73.9028,32017
